Date,SPX,GLD,USO,SLV,EUR/USD
11/25/2009,1110.630005,1166.20003,39.5,18.52,1.512791
11/27/2009,1091.48999,1150.59998,38.5,17.950001,1.499093
11/30/2009,1095.630005,1156.39999,39.150002,18.15,1.503895
12/1/2009,1108.859985,1173.79997,39.619999,18.780001,1.509001
12/2/2009,1109.23999,1191.8,38.84,18.889999,1.506977
12/3/2009,1099.920044,1186.99997,38.52,18.620001,1.506546
12/4/2009,1105.97998,1137.5,38.330002,18.15,1.485707
12/7/2009,1103.25,1131.10001,37.490002,17.82,1.48412
12/8/2009,1091.939941,1109.49997,36.849998,17.299999,1.469702
12/9/2009,1095.949951,1108.39996,35.869999,17.15,1.473796
12/10/2009,1102.349976,1108.2,35.73,17.09,1.472949
12/11/2009,1106.410034,1093.2,35.48,16.870001,1.461903
12/14/2009,1114.109985,1102.39998,35.580002,17.08,1.465695
12/15/2009,1107.930054,1102.09999,35.93,17.09,1.454207
12/16/2009,1109.180054,1115.89996,36.740002,17.360001,1.452602
12/17/2009,1096.079956,1073.39996,36.360001,16.790001,1.4347
12/18/2009,1102.469971,1089.49997,36.66,16.950001,1.434905
12/21/2009,1114.050049,1069.49997,36.16,16.690001,1.428674
12/22/2009,1118.02002,1061.69998,36.560001,16.639999,1.425436
12/23/2009,1120.589966,1065.50003,37.740002,16.809999,1.43361
12/24/2009,1126.47998,1083.60001,38.200001,17.17,1.438497
12/28/2009,1127.780029,1085.50003,38.860001,17.219999,1.437505
12/29/2009,1126.199951,1074.70001,38.84,16.809999,1.434309
12/30/2009,1126.420044,1069.3,39.139999,16.530001,1.434206
12/31/2009,1115.099976,1073.09998,39.279999,16.540001,1.432706
1/4/2010,1132.98999,1098.00003,40.27,17.23,1.442398
1/5/2010,1136.52002,1096.99997,40.41,17.51,1.436596
1/6/2010,1137.140015,1115.10002,40.970001,17.860001,1.440403
1/7/2010,1141.689941,1108.2,40.720001,17.889999,1.431803
1/8/2010,1144.97998,1113.70003,40.93,18.15,1.441109
1/11/2010,1146.97998,1128.49998,40.540001,18.209999,1.451126
1/12/2010,1136.219971,1104.89998,39.630001,17.91,1.44766
1/13/2010,1145.680054,1115.40001,39.209999,18.27,1.452391
